"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","values","sum","mean","median","min","max","count","variance","sd","frequencies","all","subset"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/7000.bmp'><img id='pleasant' class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","40","23342","0.0-11.0-9.2","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","24346","0.0-11.0-0.3","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","42","24848","0.0-11.0-1.3","","","","","","","","","","","","",""
"753","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9910.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","50","html-keyboard-response","43","25602","0.0-11.0-2.3","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9910.bmp'><img id='pleasant' class='center' src='scale/PleasantScale2.jpg'>","null","html-keyboard-response","44","26105","0.0-11.0-3.3","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","45","26608","0.0-11.0-4.3","","","","","","","","","","","","",""
"968","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9910.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","50","html-keyboard-response","46","27578","0.0-11.0-5.3","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9910.bmp'><img id='pleasant' class='center' src='scale/UnpleasantScale2.jpg'>","null","html-keyboard-response","47","28081","0.0-11.0-6.3","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","48","28583","0.0-11.0-7.3","","","","","","","","","","","","",""
"70","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/9910.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","50","html-keyboard-response","49","28653","0.0-11.0-8.3","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/9910.bmp'><img id='pleasant' class='center' src='scale/ArousalScale2.jpg'>","null","html-keyboard-response","50","29157","0.0-11.0-9.3","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","30163","0.0-11.0-0.4","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","52","30667","0.0-11.0-1.4","","","","","","","","","","","","",""
"2690","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7010.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","51","html-keyboard-response","53","33358","0.0-11.0-2.4","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7010.bmp'><img id='pleasant' class='center' src='scale/PleasantScale3.jpg'>","null","html-keyboard-response","54","33863","0.0-11.0-3.4","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","55","34368","0.0-11.0-4.4","","","","","","","","","","","","",""
"303","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7010.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","51","html-keyboard-response","56","34673","0.0-11.0-5.4","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7010.bmp'><img id='pleasant' class='center' src='scale/UnpleasantScale3.jpg'>","null","html-keyboard-response","57","35175","0.0-11.0-6.4","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"384","","51","html-keyboard-response","58","35560","0.0-11.0-7.4","","","","","","","","","","","","",""
"773","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/7010.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","51","html-keyboard-response","59","36336","0.0-11.0-8.4","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/7010.bmp'><img id='pleasant' class='center' src='scale/ArousalScale3.jpg'>","null","html-keyboard-response","60","36842","0.0-11.0-9.4","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","37845","0.0-11.0-0.5","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","62","38350","0.0-11.0-1.5","","","","","","","","","","","","",""
"649","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/5836.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","51","html-keyboard-response","63","38998","0.0-11.0-2.5","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/5836.bmp'><img id='pleasant' class='center' src='scale/PleasantScale3.jpg'>","null","html-keyboard-response","64","39501","0.0-11.0-3.5","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","65","40007","0.0-11.0-4.5","","","","","","","","","","","","",""
"528","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/5836.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","51","html-keyboard-response","66","40536","0.0-11.0-5.5","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/5836.bmp'><img id='pleasant' class='center' src='scale/UnpleasantScale3.jpg'>","null","html-keyboard-response","67","41037","0.0-11.0-6.5","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","68","41542","0.0-11.0-7.5","","","","","","","","","","","","",""
"352","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/5836.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","51","html-keyboard-response","69","41896","0.0-11.0-8.5","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/5836.bmp'><img id='pleasant' class='center' src='scale/ArousalScale3.jpg'>","null","html-keyboard-response","70","42402","0.0-11.0-9.5","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","71","43405","0.0-11.0-0.6","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","72","43912","0.0-11.0-1.6","","","","","","","","","","","","",""
"1405","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4601.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","52","html-keyboard-response","73","45318","0.0-11.0-2.6","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4601.bmp'><img id='pleasant' class='center' src='scale/PleasantScale4.jpg'>","null","html-keyboard-response","74","45824","0.0-11.0-3.6","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","75","46328","0.0-11.0-4.6","","","","","","","","","","","","",""
"1011","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4601.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","52","html-keyboard-response","76","47340","0.0-11.0-5.6","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/4601.bmp'><img id='pleasant' class='center' src='scale/UnpleasantScale4.jpg'>","null","html-keyboard-response","77","47847","0.0-11.0-6.6","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","78","48352","0.0-11.0-7.6","","","","","","","","","","","","",""
"1148","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/4601.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","52","html-keyboard-response","79","49503","0.0-11.0-8.6","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/4601.bmp'><img id='pleasant' class='center' src='scale/ArousalScale4.jpg'>","null","html-keyboard-response","80","50008","0.0-11.0-9.6","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","81","51013","0.0-11.0-0.7","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","82","51514","0.0-11.0-1.7","","","","","","","","","","","","",""
"1984","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7017.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","53","html-keyboard-response","83","53499","0.0-11.0-2.7","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7017.bmp'><img id='pleasant' class='center' src='scale/PleasantScale5.jpg'>","null","html-keyboard-response","84","54003","0.0-11.0-3.7","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","85","54506","0.0-11.0-4.7","","","","","","","","","","","","",""
"8","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7017.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","86","54516","0.0-11.0-5.7","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7017.bmp'><img id='pleasant' class='center' src='scale/UnleasantScale5.jpg'>","null","html-keyboard-response","87","55022","0.0-11.0-6.7","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","88","55524","0.0-11.0-7.7","","","","","","","","","","","","",""
"402","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/7017.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","89","55927","0.0-11.0-8.7","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"441","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/7017.bmp'><img id='pleasant' class='center' src='scale/ArousalScale5.jpg'>","53","html-keyboard-response","90","56433","0.0-11.0-9.7","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","91","57437","0.0-11.0-0.8","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","92","57941","0.0-11.0-1.8","","","","","","","","","","","","",""
"919","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8312.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","53","html-keyboard-response","93","58864","0.0-11.0-2.8","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8312.bmp'><img id='pleasant' class='center' src='scale/PleasantScale5.jpg'>","null","html-keyboard-response","94","59370","0.0-11.0-3.8","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","95","59870","0.0-11.0-4.8","","","","","","","","","","","","",""
"3780","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8312.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","96","63653","0.0-11.0-5.8","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/8312.bmp'><img id='pleasant' class='center' src='scale/UnleasantScale5.jpg'>","null","html-keyboard-response","97","64162","0.0-11.0-6.8","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","98","64665","0.0-11.0-7.8","","","","","","","","","","","","",""
"598","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/8312.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","99","65266","0.0-11.0-8.8","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/8312.bmp'><img id='pleasant' class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","100","65773","0.0-11.0-9.8","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","101","66776","0.0-11.0-0.9","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","102","67283","0.0-11.0-1.9","","","","","","","","","","","","",""
"483","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9921.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","53","html-keyboard-response","103","67770","0.0-11.0-2.9","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9921.bmp'><img id='pleasant' class='center' src='scale/PleasantScale5.jpg'>","null","html-keyboard-response","104","68276","0.0-11.0-3.9","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","105","68778","0.0-11.0-4.9","","","","","","","","","","","","",""
"573","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9921.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","53","html-keyboard-response","106","69352","0.0-11.0-5.9","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/9921.bmp'><img id='pleasant' class='center' src='scale/UnleasantScale5.jpg'>","null","html-keyboard-response","107","69857","0.0-11.0-6.9","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","108","70363","0.0-11.0-7.9","","","","","","","","","","","","",""
"871","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/9921.bmp'><img class='center' src='scale/BlankScaleArousal.png'>","53","html-keyboard-response","109","71234","0.0-11.0-8.9","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How arousing/exciting?</p> <img class='center' style='width:500px; height:500px;' src='stim/9921.bmp'><img id='pleasant' class='center' src='scale/ArousalScale5.jpg'>","null","html-keyboard-response","110","71738","0.0-11.0-9.9","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","111","72743","0.0-11.0-0.10","fixation","","","","","","","","","","","",""
"null","","null","html-keyboard-response","112","73247","0.0-11.0-1.10","","","","","","","","","","","","",""
"2113","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7011.bmp'><img id='pleasant' class='center' src='scale/BlankScalePleasant.png'>","49","html-keyboard-response","113","75361","0.0-11.0-2.10","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","<p style=""color:white; text-align:center;"">How pleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7011.bmp'><img id='pleasant' class='center' src='scale/PleasantScale1.jpg'>","null","html-keyboard-response","114","75866","0.0-11.0-3.10","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
"null","","null","html-keyboard-response","115","76369","0.0-11.0-4.10","","","","","","","","","","","","",""
"327","<p style=""color:white; text-align:center;"">How unpleasant?</p> <img class='center' style='width:500px; height:500px;' src='stim/7011.bmp'><img class='center' src='scale/BlankScaleUnpleasant.png'>","49","html-keyboard-response","116","76696","0.0-11.0-5.10","","","0","NaN","","Infinity","-Infinity","0","0","0","[object Object]","true","[object Object]"
